Newspaper Title,Issue Date,Page Number,LCCN,City,State,Contributor,Batch,PDF Link
['Connecticut western news.'],01-05-1872,1,['sn84027718'],"['north canaan', 'salisbury', 'canaan']",['connecticut'],"['Connecticut State Library, Hartford, CT']",['ct_animals_ver01'],https://tile.loc.gov/storage-services/service/ndnp/ct/batch_ct_animals_ver01/data/sn84027718/00271763803/1872010501/0122.pdf
['The Willimantic journal'],04-03-1874,3,['sn82016399'],['willimantic'],['connecticut'],"['Connecticut State Library, Hartford, CT']",['ct_ethan_ver01'],https://tile.loc.gov/storage-services/service/ndnp/ct/batch_ct_ethan_ver01/data/sn82016399/00517174373/1874040301/0094.pdf
['Litchfield enquirer.'],02-22-1872,2,['sn84020071'],['litchfield'],['connecticut'],"['Connecticut State Library, Hartford, CT']",['ct_ellsworth_ver01'],https://tile.loc.gov/storage-services/service/ndnp/ct/batch_ct_ellsworth_ver01/data/sn84020071/00393347260/1872022201/0036.pdf
['Litchfield enquirer.'],08-21-1873,2,['sn84020071'],['litchfield'],['connecticut'],"['Connecticut State Library, Hartford, CT']",['ct_ellsworth_ver01'],https://tile.loc.gov/storage-services/service/ndnp/ct/batch_ct_ellsworth_ver01/data/sn84020071/00393347260/1873082101/0340.pdf
['Connecticut western news.'],04-12-1872,1,['sn84027718'],"['north canaan', 'salisbury', 'canaan']",['connecticut'],"['Connecticut State Library, Hartford, CT']",['ct_animals_ver01'],https://tile.loc.gov/storage-services/service/ndnp/ct/batch_ct_animals_ver01/data/sn84027718/00271763803/1872041201/0183.pdf
['Connecticut western news.'],12-12-1873,1,['sn84027718'],"['north canaan', 'salisbury', 'canaan']",['connecticut'],"['Connecticut State Library, Hartford, CT']",['ct_animals_ver01'],https://tile.loc.gov/storage-services/service/ndnp/ct/batch_ct_animals_ver01/data/sn84027718/00271763803/1873121201/0558.pdf
['Connecticut western news.'],12-25-1874,4,['sn84027718'],"['north canaan', 'salisbury', 'canaan']",['connecticut'],"['Connecticut State Library, Hartford, CT']",['ct_animals_ver01'],https://tile.loc.gov/storage-services/service/ndnp/ct/batch_ct_animals_ver01/data/sn84027718/00271763815/1874122501/0228.pdf
['Connecticut western news.'],02-21-1873,1,['sn84027718'],"['north canaan', 'salisbury', 'canaan']",['connecticut'],"['Connecticut State Library, Hartford, CT']",['ct_animals_ver01'],https://tile.loc.gov/storage-services/service/ndnp/ct/batch_ct_animals_ver01/data/sn84027718/00271763803/1873022101/0381.pdf
['The Willimantic journal'],06-27-1873,6,['sn82016399'],['willimantic'],['connecticut'],"['Connecticut State Library, Hartford, CT']",['ct_ethan_ver01'],https://tile.loc.gov/storage-services/service/ndnp/ct/batch_ct_ethan_ver01/data/sn82016399/00517174361/1873062701/0289.pdf
['Connecticut western news.'],11-15-1872,1,['sn84027718'],"['north canaan', 'salisbury', 'canaan']",['connecticut'],"['Connecticut State Library, Hartford, CT']",['ct_animals_ver01'],https://tile.loc.gov/storage-services/service/ndnp/ct/batch_ct_animals_ver01/data/sn84027718/00271763803/1872111501/0319.pdf
['Connecticut western news.'],11-01-1872,1,['sn84027718'],"['north canaan', 'salisbury', 'canaan']",['connecticut'],"['Connecticut State Library, Hartford, CT']",['ct_animals_ver01'],https://tile.loc.gov/storage-services/service/ndnp/ct/batch_ct_animals_ver01/data/sn84027718/00271763803/1872110101/0311.pdf
['Litchfield enquirer.'],09-10-1874,1,['sn84020071'],['litchfield'],['connecticut'],"['Connecticut State Library, Hartford, CT']",['ct_ellsworth_ver01'],https://tile.loc.gov/storage-services/service/ndnp/ct/batch_ct_ellsworth_ver01/data/sn84020071/00393347260/1874091001/0559.pdf
