Newspaper Title,Issue Date,Page Number,LCCN,City,State,Contributor,Batch,PDF Link
['The New York herald.'],01-31-1873,4,['sn83030313'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_goldenglow_ver01'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_goldenglow_ver01/data/sn83030313/00271743816/1873013101/0363.pdf
['The New York herald.'],09-21-1872,4,['sn83030313'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_itchweed_ver01'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_itchweed_ver01/data/sn83030313/00271743798/1872092101/0938.pdf
['The New York herald.'],02-03-1873,11,['sn83030313'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_goldenglow_ver01'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_goldenglow_ver01/data/sn83030313/00271743816/1873020301/0407.pdf
['New-York tribune'],09-28-1872,2,['sn83030214'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_grass_ver02'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_grass_ver02/data/sn83030214/00206531125/1872092801/0204.pdf
['The New York herald.'],12-15-1872,8,['sn83030313'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_juneberry_ver01'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_juneberry_ver01/data/sn83030313/00271743804/1872121501/0971.pdf
['New-York tribune'],11-28-1872,4,['sn83030214'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_grass_ver02'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_grass_ver02/data/sn83030214/00206531125/1872112801/0642.pdf
['The New York herald.'],12-16-1872,3,['sn83030313'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_juneberry_ver01'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_juneberry_ver01/data/sn83030313/00271743804/1872121601/0982.pdf
['New-York tribune'],11-28-1872,2,['sn83030214'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_grass_ver02'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_grass_ver02/data/sn83030214/00206531125/1872112801/0640.pdf
['The New York herald.'],06-23-1873,5,['sn83030313'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_houseleek_ver01'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_houseleek_ver01/data/sn83030313/00271743828/1873062301/1144.pdf
['The New York herald.'],04-12-1873,5,['sn83030313'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_houseleek_ver01'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_houseleek_ver01/data/sn83030313/00271743828/1873041201/0176.pdf
['The New York herald.'],09-21-1872,6,['sn83030313'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_itchweed_ver01'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_itchweed_ver01/data/sn83030313/00271743798/1872092101/0940.pdf
['The New York herald.'],02-03-1873,6,['sn83030313'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_goldenglow_ver01'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_goldenglow_ver01/data/sn83030313/00271743816/1873020301/0402.pdf
['The New York herald.'],10-01-1872,6,['sn83030313'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_juneberry_ver01'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_juneberry_ver01/data/sn83030313/00271743804/1872100101/0021.pdf
['The New York herald.'],12-16-1873,3,['sn83030313'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_juneberry_ver01'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_juneberry_ver01/data/sn83030313/00271743841/1873121601/0976.pdf
['The New York herald.'],12-19-1873,8,['sn83030313'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_juneberry_ver01'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_juneberry_ver01/data/sn83030313/00271743841/1873121901/1017.pdf
['The New York herald.'],01-20-1874,7,['sn83030313'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_goldenglow_ver01'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_goldenglow_ver01/data/sn83030313/00271743853/1874012001/0221.pdf
['New-York tribune'],05-27-1874,4,['sn83030214'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_hugo_ver02'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_hugo_ver02/data/sn83030214/00206531174/1874052701/0476.pdf
['New-York tribune'],10-29-1873,4,['sn83030214'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_grass_ver02'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_grass_ver02/data/sn83030214/00206531150/1873102901/0486.pdf
['The New York herald.'],12-16-1872,11,['sn83030313'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_juneberry_ver01'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_juneberry_ver01/data/sn83030313/00271743804/1872121601/0990.pdf
['The New York herald.'],11-30-1873,7,['sn83030313'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_juneberry_ver01'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_juneberry_ver01/data/sn83030313/00271743841/1873113001/0782.pdf
['The New York herald.'],12-09-1872,6,['sn83030313'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_juneberry_ver01'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_juneberry_ver01/data/sn83030313/00271743804/1872120901/0899.pdf
['The New York herald.'],10-19-1874,8,['sn83030313'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_juneberry_ver01'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_juneberry_ver01/data/sn83030313/00271743889/1874101901/0267.pdf
['The New York herald.'],01-31-1873,6,['sn83030313'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_goldenglow_ver01'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_goldenglow_ver01/data/sn83030313/00271743816/1873013101/0365.pdf
['The New York herald.'],12-09-1872,4,['sn83030313'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_juneberry_ver01'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_juneberry_ver01/data/sn83030313/00271743804/1872120901/0897.pdf
['The New York herald.'],10-11-1872,6,['sn83030313'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_juneberry_ver01'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_juneberry_ver01/data/sn83030313/00271743804/1872101101/0149.pdf
['New-York tribune'],11-03-1874,4,['sn83030214'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_hugo_ver02'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_hugo_ver02/data/sn83030214/00206531198/1874110301/0302.pdf
['New-York tribune'],02-07-1874,5,['sn83030214'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_hugo_ver02'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_hugo_ver02/data/sn83030214/00206531162/1874020701/0299.pdf
['New-York tribune'],04-03-1872,2,['sn83030214'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_grass_ver02'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_grass_ver02/data/sn83030214/00206531113/1872040301/0668.pdf
['The New York herald.'],11-02-1872,11,['sn83030313'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_juneberry_ver01'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_juneberry_ver01/data/sn83030313/00271743804/1872110201/0436.pdf
['The New York herald.'],11-28-1872,7,['sn83030313'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_juneberry_ver01'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_juneberry_ver01/data/sn83030313/00271743804/1872112801/0764.pdf
['New York dispatch'],08-31-1873,6,['sn85026214'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_eliot_ver01'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_eliot_ver01/data/sn85026214/print00205958198/1873083101/0006.pdf
['New-York tribune'],03-19-1872,4,['sn83030214'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_grass_ver02'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_grass_ver02/data/sn83030214/00206531113/1872031901/0566.pdf
['New-York tribune'],05-03-1873,6,['sn83030214'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_grass_ver02'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_grass_ver02/data/sn83030214/00206531149/1873050301/0028.pdf
['The New York herald.'],02-17-1872,7,['sn83030313'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_goldenglow_ver01'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_goldenglow_ver01/data/sn83030313/00271743774/1872021701/0582.pdf
['New-York tribune'],01-26-1872,4,['sn83030214'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_grass_ver02'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_grass_ver02/data/sn83030214/00206531113/1872012601/0190.pdf
['New-York tribune'],12-30-1873,4,['sn83030214'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_grass_ver02'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_grass_ver02/data/sn83030214/00206531150/1873123001/0986.pdf
['The New York herald.'],01-27-1874,7,['sn83030313'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_goldenglow_ver01'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_goldenglow_ver01/data/sn83030313/00271743853/1874012701/0295.pdf
['The New York herald.'],06-15-1874,7,['sn83030313'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_houseleek_ver01'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_houseleek_ver01/data/sn83030313/00271743865/1874061501/1020.pdf
['The New York herald.'],01-09-1873,4,['sn83030313'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_goldenglow_ver01'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_goldenglow_ver01/data/sn83030313/00271743816/1873010901/0103.pdf
['The New York herald.'],01-16-1874,9,['sn83030313'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_goldenglow_ver01'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_goldenglow_ver01/data/sn83030313/00271743853/1874011601/0177.pdf
['The New York herald.'],10-29-1873,7,['sn83030313'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_juneberry_ver01'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_juneberry_ver01/data/sn83030313/00271743841/1873102901/0382.pdf
['The New York herald.'],07-09-1873,7,['sn83030313'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_itchweed_ver01'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_itchweed_ver01/data/sn83030313/0027174383A/1873070901/0107.pdf
['The New York herald.'],12-02-1873,4,['sn83030313'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_juneberry_ver01'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_juneberry_ver01/data/sn83030313/00271743841/1873120201/0805.pdf
['The New York herald.'],01-29-1872,3,['sn83030313'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_goldenglow_ver01'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_goldenglow_ver01/data/sn83030313/00271743774/1872012901/0350.pdf
['The New York herald.'],01-12-1874,3,['sn83030313'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_goldenglow_ver01'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_goldenglow_ver01/data/sn83030313/00271743853/1874011201/0135.pdf
['The New York herald.'],12-30-1873,3,['sn83030313'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_juneberry_ver01'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_juneberry_ver01/data/sn83030313/00271743841/1873123001/1130.pdf
['The New York herald.'],12-21-1872,11,['sn83030313'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_juneberry_ver01'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_juneberry_ver01/data/sn83030313/00271743804/1872122101/1050.pdf
['New-York tribune'],04-04-1873,5,['sn83030214'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_grass_ver02'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_grass_ver02/data/sn83030214/00206531137/1873040401/0691.pdf
['New-York tribune'],10-29-1873,1,['sn83030214'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_grass_ver02'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_grass_ver02/data/sn83030214/00206531150/1873102901/0483.pdf
['New-York tribune'],03-21-1872,8,['sn83030214'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_grass_ver02'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_grass_ver02/data/sn83030214/00206531113/1872032101/0586.pdf
['New-York tribune'],01-16-1874,1,['sn83030214'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_hugo_ver02'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_hugo_ver02/data/sn83030214/00206531162/1874011601/0127.pdf
['New-York tribune'],12-02-1874,1,['sn83030214'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_hugo_ver02'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_hugo_ver02/data/sn83030214/00206531198/1874120201/0537.pdf
['The New York herald.'],04-04-1873,7,['sn83030313'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_houseleek_ver01'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_houseleek_ver01/data/sn83030313/00271743828/1873040401/0066.pdf
['The New York herald.'],11-04-1872,8,['sn83030313'],['new york'],['new york'],"['Library of Congress, Washington, DC']",['dlc_juneberry_ver01'],https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_juneberry_ver01/data/sn83030313/00271743804/1872110401/0461.pdf
