Newspaper Title,Issue Date,Page Number,LCCN,City,State,Contributor,Batch,PDF Link
"[""The workingman's advocate""]",04-27-1872,1,['sn89077510'],"['chicago', 'philadelphia', 'detroit', 'cincinnati']","['illinois', 'pennsylvania', 'michigan', 'ohio']","['University of Illinois at Urbana-Champaign Library, Urbana, IL']",['iune_amethyst_ver01'],https://tile.loc.gov/storage-services/service/ndnp/iune/batch_iune_amethyst_ver01/data/sn89077510/00332897895/1872042701/0165.pdf
['The Cambria freeman.'],09-25-1874,1,['sn83032041'],['ebensburg'],['pennsylvania'],"['Penn State University Libraries; University Park, PA']",['pst_kern_ver01'],https://tile.loc.gov/storage-services/service/ndnp/pst/batch_pst_kern_ver01/data/sn83032041/00212477709/1874092501/0032.pdf
"[""The workingman's advocate""]",12-21-1872,2,['sn89077510'],"['chicago', 'philadelphia', 'detroit', 'cincinnati']","['illinois', 'pennsylvania', 'michigan', 'ohio']","['University of Illinois at Urbana-Champaign Library, Urbana, IL']",['iune_amethyst_ver01'],https://tile.loc.gov/storage-services/service/ndnp/iune/batch_iune_amethyst_ver01/data/sn89077510/00332897895/1872122101/0274.pdf
"[""The workingman's advocate""]",10-05-1872,2,['sn89077510'],"['chicago', 'philadelphia', 'detroit', 'cincinnati']","['illinois', 'pennsylvania', 'michigan', 'ohio']","['University of Illinois at Urbana-Champaign Library, Urbana, IL']",['iune_amethyst_ver01'],https://tile.loc.gov/storage-services/service/ndnp/iune/batch_iune_amethyst_ver01/data/sn89077510/00332897895/1872100501/0242.pdf
"[""The workingman's advocate""]",06-13-1874,1,['sn89077510'],"['chicago', 'philadelphia', 'detroit', 'cincinnati']","['illinois', 'pennsylvania', 'michigan', 'ohio']","['University of Illinois at Urbana-Champaign Library, Urbana, IL']",['iune_amethyst_ver01'],https://tile.loc.gov/storage-services/service/ndnp/iune/batch_iune_amethyst_ver01/data/sn89077510/00332897895/1874061301/0562.pdf
"[""The workingman's advocate""]",08-31-1872,2,['sn89077510'],"['chicago', 'philadelphia', 'detroit', 'cincinnati']","['illinois', 'pennsylvania', 'michigan', 'ohio']","['University of Illinois at Urbana-Champaign Library, Urbana, IL']",['iune_amethyst_ver01'],https://tile.loc.gov/storage-services/service/ndnp/iune/batch_iune_amethyst_ver01/data/sn89077510/00332897895/1872083101/0222.pdf
"[""The workingman's advocate""]",08-24-1872,2,['sn89077510'],"['chicago', 'philadelphia', 'detroit', 'cincinnati']","['illinois', 'pennsylvania', 'michigan', 'ohio']","['University of Illinois at Urbana-Champaign Library, Urbana, IL']",['iune_amethyst_ver01'],https://tile.loc.gov/storage-services/service/ndnp/iune/batch_iune_amethyst_ver01/data/sn89077510/00332897895/1872082401/0218.pdf
['The Elk County advocate.'],11-06-1873,2,['sn84026259'],['ridgway'],['pennsylvania'],"['Penn State University Libraries; University Park, PA']",['pst_deike_ver01'],https://tile.loc.gov/storage-services/service/ndnp/pst/batch_pst_deike_ver01/data/sn84026259/00280776087/1873110601/0165.pdf
"[""The workingman's advocate""]",09-20-1873,1,['sn89077510'],"['chicago', 'philadelphia', 'detroit', 'cincinnati']","['illinois', 'pennsylvania', 'michigan', 'ohio']","['University of Illinois at Urbana-Champaign Library, Urbana, IL']",['iune_amethyst_ver01'],https://tile.loc.gov/storage-services/service/ndnp/iune/batch_iune_amethyst_ver01/data/sn89077510/00332897895/1873092001/0421.pdf
"[""The workingman's advocate""]",09-14-1872,2,['sn89077510'],"['chicago', 'philadelphia', 'detroit', 'cincinnati']","['illinois', 'pennsylvania', 'michigan', 'ohio']","['University of Illinois at Urbana-Champaign Library, Urbana, IL']",['iune_amethyst_ver01'],https://tile.loc.gov/storage-services/service/ndnp/iune/batch_iune_amethyst_ver01/data/sn89077510/00332897895/1872091401/0230.pdf
