Newspaper Title,Issue Date,Page Number,LCCN,City,State,Contributor,Batch,PDF Link
['Providence morning star'],06-10-1873,2,['sn83021433'],['providence'],['rhode island'],['Rhode Island Digital Newspaper Project'],['rp_jarlstorvald_ver01'],https://tile.loc.gov/storage-services/service/ndnp/rp/batch_rp_jarlstorvald_ver01/data/sn83021433/00529045189/1873061001/0551.pdf
['Providence morning star'],12-30-1873,1,['sn83021433'],['providence'],['rhode island'],['Rhode Island Digital Newspaper Project'],['rp_jarlstorvald_ver01'],https://tile.loc.gov/storage-services/service/ndnp/rp/batch_rp_jarlstorvald_ver01/data/sn83021433/00529045189/1873123001/1236.pdf
['The morning star'],12-16-1872,1,['sn83021432'],['providence'],['rhode island'],['Rhode Island Digital Newspaper Project'],['rp_jarlstorvald_ver01'],https://tile.loc.gov/storage-services/service/ndnp/rp/batch_rp_jarlstorvald_ver01/data/sn83021432/00529045190/1872121601/1214.pdf
['Providence morning star'],12-03-1874,4,['sn83021433'],['providence'],['rhode island'],['Rhode Island Digital Newspaper Project'],['rp_kobold_ver01'],https://tile.loc.gov/storage-services/service/ndnp/rp/batch_rp_kobold_ver01/data/sn83021433/00529045177/1874120301/1151.pdf
['Providence morning star'],08-11-1874,2,['sn83021433'],['providence'],['rhode island'],['Rhode Island Digital Newspaper Project'],['rp_kobold_ver01'],https://tile.loc.gov/storage-services/service/ndnp/rp/batch_rp_kobold_ver01/data/sn83021433/00529045177/1874081101/0763.pdf
['Providence morning star'],02-25-1874,3,['sn83021433'],['providence'],['rhode island'],['Rhode Island Digital Newspaper Project'],['rp_kobold_ver01'],https://tile.loc.gov/storage-services/service/ndnp/rp/batch_rp_kobold_ver01/data/sn83021433/00529045177/1874022501/0192.pdf
['Providence morning star'],04-02-1874,4,['sn83021433'],['providence'],['rhode island'],['Rhode Island Digital Newspaper Project'],['rp_kobold_ver01'],https://tile.loc.gov/storage-services/service/ndnp/rp/batch_rp_kobold_ver01/data/sn83021433/00529045177/1874040201/0317.pdf
['Providence morning star'],12-02-1873,6,['sn83021433'],['providence'],['rhode island'],['Rhode Island Digital Newspaper Project'],['rp_jarlstorvald_ver01'],https://tile.loc.gov/storage-services/service/ndnp/rp/batch_rp_jarlstorvald_ver01/data/sn83021433/00529045189/1873120201/1147.pdf
['Providence morning star'],11-01-1873,1,['sn83021433'],['providence'],['rhode island'],['Rhode Island Digital Newspaper Project'],['rp_jarlstorvald_ver01'],https://tile.loc.gov/storage-services/service/ndnp/rp/batch_rp_jarlstorvald_ver01/data/sn83021433/00529045189/1873110101/1042.pdf
['Providence morning star'],12-16-1873,1,['sn83021433'],['providence'],['rhode island'],['Rhode Island Digital Newspaper Project'],['rp_jarlstorvald_ver01'],https://tile.loc.gov/storage-services/service/ndnp/rp/batch_rp_jarlstorvald_ver01/data/sn83021433/00529045189/1873121601/1192.pdf
['Providence morning star'],12-17-1874,1,['sn83021433'],['providence'],['rhode island'],['Rhode Island Digital Newspaper Project'],['rp_kobold_ver01'],https://tile.loc.gov/storage-services/service/ndnp/rp/batch_rp_kobold_ver01/data/sn83021433/00529045177/1874121701/1198.pdf
['Providence morning star'],12-30-1874,1,['sn83021433'],['providence'],['rhode island'],['Rhode Island Digital Newspaper Project'],['rp_kobold_ver01'],https://tile.loc.gov/storage-services/service/ndnp/rp/batch_rp_kobold_ver01/data/sn83021433/00529045177/1874123001/1238.pdf
['Providence morning star'],01-15-1874,1,['sn83021433'],['providence'],['rhode island'],['Rhode Island Digital Newspaper Project'],['rp_kobold_ver01'],https://tile.loc.gov/storage-services/service/ndnp/rp/batch_rp_kobold_ver01/data/sn83021433/00529045177/1874011501/0050.pdf
['The weekly visitor'],01-09-1874,1,['sn83021113'],['central falls'],['rhode island'],['Rhode Island Digital Newspaper Project'],['rp_cavebear_ver04'],https://tile.loc.gov/storage-services/service/ndnp/rp/batch_rp_cavebear_ver04/data/sn83021113/00513689354/1874010901/0066.pdf
['Providence morning star'],12-02-1873,5,['sn83021433'],['providence'],['rhode island'],['Rhode Island Digital Newspaper Project'],['rp_jarlstorvald_ver01'],https://tile.loc.gov/storage-services/service/ndnp/rp/batch_rp_jarlstorvald_ver01/data/sn83021433/00529045189/1873120201/1146.pdf
['Providence morning star'],02-01-1873,4,['sn83021433'],['providence'],['rhode island'],['Rhode Island Digital Newspaper Project'],['rp_jarlstorvald_ver01'],https://tile.loc.gov/storage-services/service/ndnp/rp/batch_rp_jarlstorvald_ver01/data/sn83021433/00529045189/1873020101/0113.pdf
['The morning star'],01-23-1872,1,['sn83021432'],['providence'],['rhode island'],['Rhode Island Digital Newspaper Project'],['rp_jarlstorvald_ver01'],https://tile.loc.gov/storage-services/service/ndnp/rp/batch_rp_jarlstorvald_ver01/data/sn83021432/00529045190/1872012301/0078.pdf
['The morning star'],02-01-1872,2,['sn83021432'],['providence'],['rhode island'],['Rhode Island Digital Newspaper Project'],['rp_jarlstorvald_ver01'],https://tile.loc.gov/storage-services/service/ndnp/rp/batch_rp_jarlstorvald_ver01/data/sn83021432/00529045190/1872020101/0111.pdf
['The weekly visitor'],08-14-1874,2,['sn83021113'],['central falls'],['rhode island'],['Rhode Island Digital Newspaper Project'],['rp_cavebear_ver04'],https://tile.loc.gov/storage-services/service/ndnp/rp/batch_rp_cavebear_ver04/data/sn83021113/00513689354/1874081401/0191.pdf
['Providence morning star'],10-16-1873,4,['sn83021433'],['providence'],['rhode island'],['Rhode Island Digital Newspaper Project'],['rp_jarlstorvald_ver01'],https://tile.loc.gov/storage-services/service/ndnp/rp/batch_rp_jarlstorvald_ver01/data/sn83021433/00529045189/1873101601/0989.pdf
['Providence morning star'],05-20-1874,3,['sn83021433'],['providence'],['rhode island'],['Rhode Island Digital Newspaper Project'],['rp_kobold_ver01'],https://tile.loc.gov/storage-services/service/ndnp/rp/batch_rp_kobold_ver01/data/sn83021433/00529045177/1874052001/0480.pdf
['Providence morning star'],01-05-1874,3,['sn83021433'],['providence'],['rhode island'],['Rhode Island Digital Newspaper Project'],['rp_kobold_ver01'],https://tile.loc.gov/storage-services/service/ndnp/rp/batch_rp_kobold_ver01/data/sn83021433/00529045177/1874010501/0016.pdf
['Providence morning star'],06-20-1873,1,['sn83021433'],['providence'],['rhode island'],['Rhode Island Digital Newspaper Project'],['rp_jarlstorvald_ver01'],https://tile.loc.gov/storage-services/service/ndnp/rp/batch_rp_jarlstorvald_ver01/data/sn83021433/00529045189/1873062001/0586.pdf
['Providence morning star'],12-07-1874,1,['sn83021433'],['providence'],['rhode island'],['Rhode Island Digital Newspaper Project'],['rp_kobold_ver01'],https://tile.loc.gov/storage-services/service/ndnp/rp/batch_rp_kobold_ver01/data/sn83021433/00529045177/1874120701/1160.pdf
['The weekly visitor'],02-02-1872,2,['sn83021113'],['central falls'],['rhode island'],['Rhode Island Digital Newspaper Project'],['rp_cavebear_ver04'],https://tile.loc.gov/storage-services/service/ndnp/rp/batch_rp_cavebear_ver04/data/sn83021113/00513689342/1872020201/0493.pdf
['The weekly visitor'],04-04-1873,2,['sn83021113'],['central falls'],['rhode island'],['Rhode Island Digital Newspaper Project'],['rp_cavebear_ver04'],https://tile.loc.gov/storage-services/service/ndnp/rp/batch_rp_cavebear_ver04/data/sn83021113/00513689342/1873040401/0737.pdf
['The weekly visitor'],08-28-1874,1,['sn83021113'],['central falls'],['rhode island'],['Rhode Island Digital Newspaper Project'],['rp_cavebear_ver04'],https://tile.loc.gov/storage-services/service/ndnp/rp/batch_rp_cavebear_ver04/data/sn83021113/00513689354/1874082801/0198.pdf
['The weekly visitor'],05-10-1872,2,['sn83021113'],['central falls'],['rhode island'],['Rhode Island Digital Newspaper Project'],['rp_cavebear_ver04'],https://tile.loc.gov/storage-services/service/ndnp/rp/batch_rp_cavebear_ver04/data/sn83021113/00513689342/1872051001/0549.pdf
