Newspaper Title,Issue Date,Page Number,LCCN,City,State,Contributor,Batch,PDF Link
['Green-Mountain freeman.'],07-27-1870,1,['sn84023209'],['montpelier'],['vermont'],['University of Vermont'],['vtu_hildene_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_hildene_ver01/data/sn84023209/00202197590/1870072701/0081.pdf
['Orleans independent standard.'],06-28-1870,2,['sn84022548'],"['irasburg', 'barton']",['vermont'],['University of Vermont'],['vtu_ludlow_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_ludlow_ver01/data/sn84022548/00202194965/1870062801/0302.pdf
['Orleans independent standard.'],11-22-1870,1,['sn84022548'],"['irasburg', 'barton']",['vermont'],['University of Vermont'],['vtu_ludlow_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_ludlow_ver01/data/sn84022548/00202194965/1870112201/0380.pdf
['Lamoille newsdealer.'],09-10-1873,1,['sn84023428'],['hyde park'],['vermont'],['University of Vermont'],['vtu_jay_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_jay_ver01/data/sn84023428/00202197449/1873091001/0578.pdf
['The Rutland daily globe.'],05-05-1873,2,['sn84022473'],['rutland'],['vermont'],['University of Vermont'],['vtu_foxville_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_foxville_ver01/data/sn84022473/00280777535/1873050501/0016.pdf
['Rutland weekly herald.'],06-22-1871,1,['sn84022367'],['rutland'],['vermont'],['University of Vermont'],['vtu_leek_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_leek_ver01/data/sn84022367/00415628377/1871062201/0616.pdf
['National opinion.'],02-21-1873,4,['sn84022552'],['bradford'],['vermont'],['University of Vermont'],['vtu_kirby_ver02'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_kirby_ver02/data/sn84022552/00202197231/1873022101/0439.pdf
['Vermont phœnix.'],06-23-1871,2,['sn98060050'],"['brattleboro', 'bellows falls', 'ludlow']",['vermont'],['University of Vermont'],['vtu_danby_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_danby_ver01/data/sn98060050/00280777365/1871062301/0847.pdf
['Rutland weekly herald.'],01-09-1873,5,['sn84022367'],['rutland'],['vermont'],['University of Vermont'],['vtu_leek_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_leek_ver01/data/sn84022367/00415628390/1873010901/0014.pdf
['Burlington weekly free press.'],09-26-1873,1,['sn86072143'],['burlington'],['vermont'],['University of Vermont'],['vtu_burlington_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_burlington_ver01/data/sn86072143/00280777031/1873092601/0579.pdf
['Orleans independent standard.'],06-14-1870,2,['sn84022548'],"['irasburg', 'barton']",['vermont'],['University of Vermont'],['vtu_ludlow_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_ludlow_ver01/data/sn84022548/00202194965/1870061401/0294.pdf
['Green-Mountain freeman.'],08-02-1871,1,['sn84023209'],['montpelier'],['vermont'],['University of Vermont'],['vtu_hildene_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_hildene_ver01/data/sn84023209/00202197590/1871080201/0249.pdf
['Burlington weekly free press.'],10-28-1870,4,['sn86072143'],['burlington'],['vermont'],['University of Vermont'],['vtu_burlington_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_burlington_ver01/data/sn86072143/0028077702A/1870102801/0608.pdf
['Rutland weekly herald.'],12-04-1873,6,['sn84022367'],['rutland'],['vermont'],['University of Vermont'],['vtu_leek_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_leek_ver01/data/sn84022367/00415628390/1873120401/0398.pdf
['The Manchester journal.'],06-19-1873,2,['sn83025668'],"['manchester', 'bennington']",['vermont'],['University of Vermont'],['vtu_iceberg_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_iceberg_ver01/data/sn83025668/00415629229/1873061901/1084.pdf
['The Rutland daily globe.'],12-11-1874,1,['sn84022473'],['rutland'],['vermont'],['University of Vermont'],['vtu_foxville_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_foxville_ver01/data/sn84022473/00280777547/1874121101/1174.pdf
['Bellows Falls times.'],02-20-1874,1,['sn84022549'],['bellows falls'],['vermont'],['University of Vermont'],['vtu_melon_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_melon_ver01/data/sn84022549/00415628481/1874022001/0460.pdf
['Bellows Falls times.'],12-26-1873,1,['sn84022549'],['bellows falls'],['vermont'],['University of Vermont'],['vtu_melon_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_melon_ver01/data/sn84022549/00415628481/1873122601/0426.pdf
['Burlington weekly free press.'],07-22-1870,2,['sn86072143'],['burlington'],['vermont'],['University of Vermont'],['vtu_burlington_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_burlington_ver01/data/sn86072143/0028077702A/1870072201/0550.pdf
['Rutland weekly herald.'],09-22-1870,2,['sn84022367'],['rutland'],['vermont'],['University of Vermont'],['vtu_leek_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_leek_ver01/data/sn84022367/00415628377/1870092201/0299.pdf
['Lamoille newsdealer.'],02-08-1871,3,['sn84023428'],['hyde park'],['vermont'],['University of Vermont'],['vtu_jay_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_jay_ver01/data/sn84023428/00202197449/1871020801/0029.pdf
['National opinion.'],08-30-1872,1,['sn84022552'],['bradford'],['vermont'],['University of Vermont'],['vtu_kirby_ver02'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_kirby_ver02/data/sn84022552/00202197231/1872083001/0337.pdf
['National opinion.'],04-05-1872,1,['sn84022552'],['bradford'],['vermont'],['University of Vermont'],['vtu_kirby_ver02'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_kirby_ver02/data/sn84022552/00202197231/1872040501/0259.pdf
['Essex County herald.'],03-07-1874,4,['sn84023416'],"['island pond', 'guildhall']",['vermont'],['University of Vermont'],['vtu_ira_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_ira_ver01/data/sn84023416/00202197498/1874030701/0244.pdf
['Vermont phœnix.'],05-17-1872,1,['sn98060050'],"['brattleboro', 'bellows falls', 'ludlow']",['vermont'],['University of Vermont'],['vtu_danby_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_danby_ver01/data/sn98060050/00280777377/1872051701/0071.pdf
['National opinion.'],01-12-1872,1,['sn84022552'],['bradford'],['vermont'],['University of Vermont'],['vtu_kirby_ver02'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_kirby_ver02/data/sn84022552/00202197231/1872011201/0211.pdf
['Rutland weekly herald.'],07-21-1870,4,['sn84022367'],['rutland'],['vermont'],['University of Vermont'],['vtu_leek_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_leek_ver01/data/sn84022367/00415628377/1870072101/0229.pdf
['The Rutland daily globe.'],10-26-1874,2,['sn84022473'],['rutland'],['vermont'],['University of Vermont'],['vtu_foxville_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_foxville_ver01/data/sn84022473/00280777547/1874102601/1019.pdf
['The Middlebury register.'],12-05-1871,2,['sn83025667'],['middlebury'],['vermont'],['University of Vermont'],['vtu_irasburg_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_irasburg_ver01/data/sn83025667/00280777821/1871120501/0413.pdf
['The Rutland daily globe.'],11-27-1873,1,['sn84022473'],['rutland'],['vermont'],['University of Vermont'],['vtu_foxville_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_foxville_ver01/data/sn84022473/00280777535/1873112701/0720.pdf
