Newspaper Title,Issue Date,Page Number,LCCN,City,State,Contributor,Batch,PDF Link
['The daily dispatch'],07-22-1873,3,['sn84024738'],['richmond'],['virginia'],"['Library of Virginia; Richmond, VA']",['vi_kors_ver02'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_kors_ver02/data/sn84024738/00271742058/1873072201/0081.pdf
['The Daily state journal'],07-23-1873,3,['sn84024670'],"['richmond', 'alexandria']",['virginia'],"['Library of Virginia; Richmond, VA']",['vi_forego_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_forego_ver01/data/sn84024670/00280762428/1873072301/0100.pdf
['The daily dispatch'],08-29-1873,1,['sn84024738'],['richmond'],['virginia'],"['Library of Virginia; Richmond, VA']",['vi_kors_ver02'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_kors_ver02/data/sn84024738/00271742058/1873082901/0207.pdf
['Alexandria gazette'],01-16-1874,2,['sn85025007'],['alexandria'],"['virginia', 'district of columbia']","['Library of Virginia; Richmond, VA']",['vi_fezza_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_fezza_ver01/data/sn85025007/00415663730/1874011601/0060.pdf
['Alexandria gazette'],05-03-1873,3,['sn85025007'],['alexandria'],"['virginia', 'district of columbia']","['Library of Virginia; Richmond, VA']",['vi_fezza_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_fezza_ver01/data/sn85025007/00415663705/1873050301/0424.pdf
['Alexandria gazette'],11-14-1873,2,['sn85025007'],['alexandria'],"['virginia', 'district of columbia']","['Library of Virginia; Richmond, VA']",['vi_fezza_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_fezza_ver01/data/sn85025007/00415663717/1873111401/0468.pdf
['Virginia Staats-Gazette'],03-04-1874,4,['sn85026936'],['richmond'],['virginia'],"['Library of Virginia; Richmond, VA']",['vi_jennet_ver02'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_jennet_ver02/data/sn85026936/00393348616/1874030401/0215.pdf
['Alexandria gazette'],07-26-1873,1,['sn85025007'],['alexandria'],"['virginia', 'district of columbia']","['Library of Virginia; Richmond, VA']",['vi_fezza_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_fezza_ver01/data/sn85025007/00415663717/1873072601/0087.pdf
['Clarke courier'],02-12-1874,1,['sn85025371'],['berryville'],['virginia'],"['Library of Virginia; Richmond, VA']",['vi_longines_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_longines_ver01/data/sn85025371/00542867218/1874021201/0237.pdf
['The Daily state journal'],02-17-1872,1,['sn84024670'],"['richmond', 'alexandria']",['virginia'],"['Library of Virginia; Richmond, VA']",['vi_forego_ver01'],https://tile.loc.gov/storage-services/service/ndnp/vi/batch_vi_forego_ver01/data/sn84024670/00280762374/1872021701/0174.pdf
