Newspaper Title,Issue Date,Page Number,LCCN,City,State,Contributor,Batch,PDF Link
['The Wheeling daily intelligencer'],12-16-1872,1,['sn84026844'],['wheeling'],['west virginia'],['West Virginia University'],['wvu_belgium_ver01'],https://tile.loc.gov/storage-services/service/ndnp/wvu/batch_wvu_belgium_ver01/data/sn84026844/0020219087A/1872121601/1196.pdf
['The Wheeling daily register'],12-08-1873,1,['sn84026847'],['wheeling'],['west virginia'],['West Virginia University'],['wvu_deforest_ver02'],https://tile.loc.gov/storage-services/service/ndnp/wvu/batch_wvu_deforest_ver02/data/sn84026847/00415665179/1873120801/0535.pdf
['South Branch intelligencer'],09-13-1872,2,['sn84026826'],['romney'],['west virginia'],['West Virginia University'],['wvu_laird_ver01'],https://tile.loc.gov/storage-services/service/ndnp/wvu/batch_wvu_laird_ver01/data/sn84026826/00414187146/1872091301/0525.pdf
['The Wheeling daily register'],02-26-1873,1,['sn84026847'],['wheeling'],['west virginia'],['West Virginia University'],['wvu_deforest_ver02'],https://tile.loc.gov/storage-services/service/ndnp/wvu/batch_wvu_deforest_ver02/data/sn84026847/00415665167/1873022601/0191.pdf
['The democrat'],01-15-1872,1,['sn84026840'],['weston'],['west virginia'],['West Virginia University'],['wvu_jordan_ver03'],https://tile.loc.gov/storage-services/service/ndnp/wvu/batch_wvu_jordan_ver03/data/sn84026840/0020219249A/1872011501/0105.pdf
['The Wheeling daily register'],08-18-1874,1,['sn84026847'],['wheeling'],['west virginia'],['West Virginia University'],['wvu_enterprise_ver02'],https://tile.loc.gov/storage-services/service/ndnp/wvu/batch_wvu_enterprise_ver02/data/sn84026847/00415665192/1874081801/0167.pdf
['The Wheeling daily register'],12-02-1874,1,['sn84026847'],['wheeling'],['west virginia'],['West Virginia University'],['wvu_enterprise_ver02'],https://tile.loc.gov/storage-services/service/ndnp/wvu/batch_wvu_enterprise_ver02/data/sn84026847/00415665192/1874120201/0523.pdf
['The weekly register'],01-09-1873,4,['sn84026817'],['point pleasant'],['west virginia'],['West Virginia University'],['wvu_jordan_ver03'],https://tile.loc.gov/storage-services/service/ndnp/wvu/batch_wvu_jordan_ver03/data/sn84026817/00202193778/1873010901/0010.pdf
['The Wheeling daily intelligencer'],10-03-1872,4,['sn84026844'],['wheeling'],['west virginia'],['West Virginia University'],['wvu_belgium_ver01'],https://tile.loc.gov/storage-services/service/ndnp/wvu/batch_wvu_belgium_ver01/data/sn84026844/0020219087A/1872100301/0950.pdf
['The Wheeling daily intelligencer'],05-03-1872,2,['sn84026844'],['wheeling'],['west virginia'],['West Virginia University'],['wvu_belgium_ver01'],https://tile.loc.gov/storage-services/service/ndnp/wvu/batch_wvu_belgium_ver01/data/sn84026844/0020219087A/1872050301/0428.pdf
['The Wheeling daily intelligencer'],04-18-1872,2,['sn84026844'],['wheeling'],['west virginia'],['West Virginia University'],['wvu_belgium_ver01'],https://tile.loc.gov/storage-services/service/ndnp/wvu/batch_wvu_belgium_ver01/data/sn84026844/0020219087A/1872041801/0376.pdf
['The Wheeling daily intelligencer'],08-03-1872,4,['sn84026844'],['wheeling'],['west virginia'],['West Virginia University'],['wvu_belgium_ver01'],https://tile.loc.gov/storage-services/service/ndnp/wvu/batch_wvu_belgium_ver01/data/sn84026844/0020219087A/1872080301/0742.pdf
['The Wheeling daily intelligencer'],08-01-1872,4,['sn84026844'],['wheeling'],['west virginia'],['West Virginia University'],['wvu_belgium_ver01'],https://tile.loc.gov/storage-services/service/ndnp/wvu/batch_wvu_belgium_ver01/data/sn84026844/0020219087A/1872080101/0734.pdf
['The Wheeling daily intelligencer'],07-27-1872,4,['sn84026844'],['wheeling'],['west virginia'],['West Virginia University'],['wvu_belgium_ver01'],https://tile.loc.gov/storage-services/service/ndnp/wvu/batch_wvu_belgium_ver01/data/sn84026844/0020219087A/1872072701/0718.pdf
